Level,Recommendations
3,site plan locator map place entrance indicate location different building college campus
3,effort exert resource allot repair upkeep school facility equipment
3,provide landmark perimeter fence would greatly help ensure security protection property student personnel
3,financial resource warrant floor surface corridor college ofnengineering renovate ensure safer movement
3,vandalism classroom wall checked
3,periodic test water potability pest control safety electrical line properly document
3,construction awningscanopies would desirable reduce flood corridor heavy rain
3,would desirable schedule class would take consideration size class assignment room
3,fire extinguisher would augur safety constituent college
3,regular orientation student university personnel fire extinguisher
3,fire earthquake drill conduct least every semester
3,provide teacher table adequate number chair classroom would helpful
3,would desirable medical dental supply properly label
3,provision make university student center conferencemeeting room
3,financial resource available canteen college engineering expand accommodate grow number customer
3,construction cover walk coe building canteen highly recommend
