Level,Recommendations
psv,site plan locator map place entrance indicate location different building college campus
psv,effort exert resource allot repair upkeep school facility equipment
psv,provide landmark perimeter fence would greatly help ensure security protection property student personnel
psv,financial resource warrant floor surface corridor college engineering renovate ensure safer movement
psv,vandalism classroom wall checked
psv,periodic test water potability pest control safety electrical line properly document
psv,construction awningscanopies would desirable reduce flood corridor heavy rain
psv,would desirable schedule class would take consideration size class assignment room
psv,fire extinguisher would augur safety constituent college
psv,regular orientation student university personnel fire extinguisher
psv,fire earthquake drill conduct least every semester
psv,provide teacher table adequate number chair classroom would helpful
psv,would desirable medical dental supply properly label
psv,provision make university student center conferencemeeting room
psv,financial resource available canteen college engineering expand accommodate grow number customer
psv,construction cover walk coe building canteen highly recommend
