Level,Recommendations
3,administration look possibility reduce teach load faculty arrange class schedule mar effective efficient long class hour schedule discourage
3,encourage faculty complete relevant graduate course
3,faculty development plan correspond budget allocation base identify priority need faculty prepared support administration faculty training development strengthen
3,facilitate classrom instruction faculty member encourage coma instructional material also earn point promotion require nbc
3,need review distribution equivalent teach load review deliberate productively faculty meeting get feedback
3,easy reference consultation hour faculty indicate program
3,faculty member encourage conduct relevant research university budget permit incentive faculty researcher grant
3,inservice training faculty member college preparation instructional material preparation actionsocial research could topic discussion workshop
3,faculty member encourage grow professionally membership possible linkage professionalscientific organization
3,facultyrelated activity properly document purpose evaluation planning
