Level,Recommendations
psv,reflect the housing services unit in the oss organizational structure under the direct supervision of the student services director
psv,improve the dwindling enrollment of the development communication program through massive campaignsinformation drives andor offering of scholarships programs to attract enrollees
psv,update and revise the university student handbook to reflect some policies approved by the board of regents on matters pertaining to student development like a student development program b policies on student housing services d provision on policies on accreditation of student organizations c the list selection of athletes e of student organizations f provision of sbo scholars g scholarship grant benefits and privileges and others it is also suggested that the objectives of the student services program be specifically defined to encompass the different student services program
psv,revise the guidance manual to incorporate developments pertinent to student guidance services
psv,regularly monitor and evaluate all student activities to ensure the effectiveness of the student services program
psv,provide an alumni directory to encourage the active participation and support of its graduates on the improvement of the program
psv,if funds warrant increase the budget allocation of the student services program to ensure a implementation of all scheduled
psv,encourage the student services personnel to attend more seminars and training related to their functions and roles as designated officials
psv,regularly the school organ to inform the community about the university programs student activities university accomplishments as well as other developments
psv,if funds permit organize a university band composed of talented students who are granted scholarshipassistantship and incentives primarily to support the socio cultural activities of the university likewise it serves as advertisement of the university whenever it is invited to perform outside the school
psv,granting a housing privilege to university scholars may be considered
psv,organize the conduct of an alumni homecoming to strengthen the support of the alumni in upcoming projectsactivities of the student services program
