Level,Recommendations
3,staff faculty member man different student service consider conduct regular monitoring evaluation respective assignment also disseminate result monitoring evaluation decision make policy formulationrevision
3,result evaluation monitoring different activity student service collate analyze come research manuscript result could input decisionmaking policy formulationrevision
3,monitoring evaluation instrument student service also revise regularly subject validation reliability gather generate valid reliable result
3,research agenda program survey include research student affair
3,budget research student affair allocate
3,administration allocate fund student publication college level
3,administration allocation fund renovation proper maintenance university theater
3,separate fully equip guidance office university put
3,manual enrolment procedure university change electronic data processing system online service expedite processing consider population size
3,transportation alternative ikot jeep consider allow accessibility among student move one building another minimize expenditure
3,conduct microbial analysis eat utensil canteen university propose safety sanitation
3,data dropout rate transferee shifter analyze per recommendation accreditor first survey visit
3,drinking fountain provide student ready potable water instal per recommendation accreditor first visit
3,university hire license guidance counselor comply ched aaccup minimum requirement
