Level,Recommendations
1,recordsdocuments update properly package must systematically file inactive obsolete document need dispose
1,senior faculty member college actively participate accreditation process assign area chair
1,organizational structure university college review
1,specific comprehensive supervisory plan dean must prepared formulate
1,strengthen partnership networking consider outsource national international linkage via ecommunications
1,college always provide faculty member relevant seminar inserving training
1,maximize expertise faculty staff support student organize income generate project college
1,need improve preparation necessary document sign responsible official
1,bulletin information contain policy guideline different aspect concern graduate student
1,request additional multimedia lcd projector
1,immediate publication revise university code faculty manual student manual policy guideline advise
1,prepare undergraduate graduate program vertical articulation
1,university policy must strictly observe implement college
