Level,Recommendations
1,possible additional laboratory technician hire take charge repair maintenance equipment likewise laboratory assign monitor properly maintain laboratory
1,operation manual faculty provide laboratory
1,document show regular replenishment laboratory supply proof implementation rule regulation every laboratory room make evident
1,recommend additional simulation room provide skill base subject expose student practical aspect theoretical learn
1,furniture equipment laboratory room properly arrange allow free flow movement enable student work comfortably
1,laboratory equipment properly clean checked regularly certain good work condition
1,photocopy document picture make clear
1,document properly sign concerned authority
1,example report inventory laboratory equipment acknowledgement receipt equipment others
1,document update properly file document likewise relevant necessary pertinent document include
