Level,Recommendations
1,the recordsdocuments should be update properly package and must be systematically file and the inactive and obsolete document need to be dispose of
1,the senior faculty member of the college should actively participate in the accreditation process they should be assign as the area chair
1,the organizational structure of the university and the college should be review
1,a specific and comprehensive supervisory plan of the dean must be prepared or formulate
1,strengthen partnership and networking and consider outsource of national and international linkage via ecommunications
1,the college should always provide the faculty member with relevant seminar and inserving training
1,maximize the expertise of the faculty and staff as well as the support of the student in organize income generate project for the college
1,there is a need to improve the preparation of necessary document by have them sign by responsible official
1,the bulletin of information should contain the policy and guideline on the different aspect or concern of graduate student
1,request additional multimedia or lcd projector
1,immediate publication of the revise university code faculty manual student manual and other policy and guideline is advise
1,prepare the undergraduate and graduate program for vertical articulation
1,the university policy must be strictly observe and implement in the college
